Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
SQLE,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C14orf1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FAM83F,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CATSPER2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ZFP64,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
UBN2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ATG2B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SETD4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D32,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CAMKMT,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ZDHHC3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ZNF57,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LCORL,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
INPP1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C1orf50,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LIPT2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
RPL26L1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DIABLO,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DEPDC4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
RAB3IP,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
APITD1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
APITD1-CORT,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
