Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
C1orf54,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CXCL11,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
RNASE6,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
RNASE7,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
RNASE8,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IFIT1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
C3orf17,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CCL7,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CCL11,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MTIF3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CYLC2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
NREP,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
AZI2,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
HLA-DPA1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MRPL50,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
