Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
CMIP,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
B4GALT4,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
GSR,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
PTPRK,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
CASK,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
CSNK1G3,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
SLC25A24,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
PARP4,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
TLR3,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
IGF2BP2,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
GPRC5D,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
CENPV,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
KRT12,0,,17636,19,0.00107734180086187,WRN|MCPH1|MND1|ATRX|FBXO18|RAD52|RAD51B|RAD54B|PSMC3IP|DMC1|HLTF|RECQL4|BRCA2|XRCC2|RAD54L|RAD51|RAD51D|RAD51C|RAD54L2
