Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
LMNTD2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
NAT14,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CCDC27,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C6orf25,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
MSLN,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ZC3H3,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C16orf89,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CD164L2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
IL17RA,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ACRBP,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
NAGPA,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FAM131C,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TRIM47,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
PDGFB,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ZNF414,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
EMD,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
KIAA1614,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CBX8,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
LIF,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CCDC105,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CD27,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FAM65C,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
SEMA6C,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
C3orf58,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
