,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
ABHD3,0,0,0,0,0,8237,0,0,9.7530952,5.066362906,0,8.801012361,0,0.394998698,0,0,0.052631579,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD4,0,0,0,0,2885,0,0,0,9.392248099,0,0,8.347034247,0,0.195951066,0,0,0.014051522,0.016451234,0,0,0,0,0,0,0,0,0,0
ABHD5,0,0,0,0,7775,0,0,0,9.069455408,4.696892914,0,0,0.135794987,0,0,0,0.014051522,0.007559395,0,0,0,0,0,0,0,0,0,0
ABHD6,0,0,0,0,0,5353,0,0,0,4.842710729,0,8.347034247,0,0.147697095,0,0,0.024390244,0.004482524,0,0,0,0,0,0,0,0,0,0
ABHD8,0,0,0,0,53,0,0,0,0,0,0,0,0.04531879,0,0,0,0.064516129,0.010963525,0,0,0,0,0,0,0,0,0,0
ABI1,0,0,0,0,4969,0,0,0,0,0,0,0,0,0.431189177,0,0,0.011049724,0.004482524,0,0,0,0,0,0,0,0,0,0
ABI2,0,0,0,0,0,7292,0,0,0,0,0,0,0,0.581982837,0,0,0.011049724,0.004482524,0,0,0,0,0,0,0,0,0,0
ABI3,0,0,0,0,0,6056,0,0,0,0,0,0,0,0.515633627,0,0,0.011049724,0.015205725,0,0,0,0,0,0,0,0,0,0
ABI3BP,0,0,0,0,0,4229,0,0,0,0,0,0,0,0,0,0,0.014084507,0.004482524,0,0,0,0,0,0,0,0,0,0
ABL1,0,0,0,0,0,1014,0,0,0,0,0,0,0,0.588014584,0,0,0.015027322,0.004823151,0,0,0,0,0,0,0,0,0,0
ABL2,0,0,0,0,961,0,2,0,0,0,7.124571189,0,0,0.473411402,0,0,0.015027322,0.004482524,0,0,0,0,0,0,0,0,0,0
